University,Program,Study Level,Country,Official Website
Aalborg University,Master of Science (MSc) in Energy Engineering (Fuel Cells and Hydrogen Technology),Masters,Denmark,http://en.aau.dk
Taipei Medical University (TMU),Master Program in Food Safety,Masters,Taiwan,http://oge.tmu.edu.tw/
Erasmus University Rotterdam ,"MA Agrarian, Food and Environmental Studies",Masters,Netherlands,http://www.eur.nl/en/?utm_source=QShome&utm_medium=Paid&utm_campaign=EURrankings
"School of Architecture, Southeast University",Master of Architecture,Masters,China (Mainland),https://arch.seu.edu.cn/jz_en/main.htm
Aalborg University,"Biotechnology, Master",Masters,Denmark,http://en.aau.dk
RUDN University,Linguistics,Masters,Russia,http://eng.rudn.ru/
UCL,Learning and Leadership MPhil/PhD,PHD,United Kingdom,https://www.ucl.ac.uk/prospective-students/graduate/change-your-world?utm_source=qs&utm_medium=affiliate&utm_campaign=vpee_pgt_always_on&utm_content=profile
York University,Mathematics for Education,Bachelors,Canada,http://www.yorku.ca
George Mason University,BS in Accounting/Accelerated MAIS in Interdisciplinary Studies (Energy and Sustainability Concentration),Bachelors,,https://landing.masononline.gmu.edu/brand-af?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
Peter the Great St. Petersburg Polytechnic University,Environmental Engineering in Urban Construction,Masters,Russia,https://english.spbstu.ru/education/programs/programs-in-english/
National Yang Ming Chiao Tung University,Master of Science in Civil Engineering (Construction Engineering and Management),Masters,Taiwan,https://en.nycu.edu.tw/
University of Kent,Sociology - BA (Hons),Bachelors,United Kingdom,https://www.kent.ac.uk/?utm_source=QS&utm_medium=paid_referrer&utm_content=main-profile&utm_campaign=PGINT2022
University of Nicosia,Digital Currency (Distance Learning),Masters,Cyprus,https://www.unic.ac.cy
George Mason University,PhD in Communication - Strategic communication,PHD,,https://landing.masononline.gmu.edu/brand-af?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
L.N. Gumilyov Eurasian National University (ENU),Search geography and geographic information systems,Masters,Kazakhstan,http://www.enu.kz/en
Universidad Peruana de Ciencias Aplicadas,Professional Degree in Industrial Engineering,Bachelors,Peru,http://www.upc.edu.pe
ESCP Business School - Paris,MSc in Strategy and Organisation Consulting Specialisation,Masters,France,http://www.escp.eu/
UNIVERSIDAD PRIVADA BOLIVIANA,Bachelor of Business Administration,Bachelors,Bolivia,https://www.upb.edu
SRH Berlin University of Applied Sciences,Photography (B.A.),Bachelors,Germany,https://www.srh-berlin.de/en/?utm_source=wkz-BE3003AB04&utm_medium=portal&utm_campaign=qs-topuni&utm_content=profil-srh-berlin&utm_term=en
Sciences Po,"Dual Bachelor’s Degree in Social Sciences and Humanities, Sciences Po (France) and The University of Hong Kong",Bachelors,France,https://www.sciencespo.fr/en?utm_source=qs&utm_medium=referral&utm_campaign=site_qs&utm_content=hp_scpo
Cardiff University,Sociology and Education (BSc),Bachelors,United Kingdom,https://www.cardiff.ac.uk
Universidad UTE,Master in Project Management,Masters,Ecuador,https://www.ute.edu.ec/
La Trobe University,Bachelor of Occupational Therapy (Honours),Bachelors,Australia,http://www.latrobe.edu.au/international
University of Technology Sydney,Bachelor of Mathematical Sciences Bachelor of International Studies (Honours),Bachelors,Australia,http://www.uts.edu.au
SRH Berlin University of Applied Sciences,Digital Media | Visual and Interactive Media (B.A.),Bachelors,Germany,https://www.srh-berlin.de/en/?utm_source=wkz-BE3003AB04&utm_medium=portal&utm_campaign=qs-topuni&utm_content=profil-srh-berlin&utm_term=en
McGill University,Doctor of Philosophy (Ph.D.) Educational Studies: Gender and Women's Studies,PHD,Canada,https://www.mcgill.ca/
Swansea University,"Health Economics, Ph.D.",PHD,United Kingdom,https://www.swansea.ac.uk/?utm_source=qs&utm_medium=profile&utm_campaign=international20
University of Sussex,Drama and Film Studies BA (Hons),Bachelors,United Kingdom,https://www.sussex.ac.uk/?utm_source=qs&utm_medium=paid_referral&utm_campaign=institutionalprofiles
University of Otago,Bachelor of Science (BSc) in Microbiology,Bachelors,New Zealand,http://www.otago.ac.nz
University of Bath,Structural and Architectural Engineering BEng (Hons) - 4 years including placement year,Bachelors,United Kingdom,https://info.online.bath.ac.uk/brand/?utm_source=QS&utm_medium=Listing&utm_campaign=Listing_QS_Brand
Coventry University,BA (Hons) Acting (Stage and Screen) (Sandwich),Bachelors,United Kingdom,https://www.coventry.ac.uk/
MGIMO University,Public Relations,Bachelors,Russia,http://english.mgimo.ru
York University,Engineering & International Development Studies,Bachelors,Canada,http://www.yorku.ca
Imam Abdulrahman Bin Faisal University (IAU),Doctor of Philosophy in English Language and Literature,PHD,Saudi Arabia,https://www.iau.edu.sa/ar
University College Dublin,MA Theatre Practice FT,Masters,Ireland,http://www.ucd.ie/
University of Bristol,MSci Biochemistry with Molecular Biology and Biotechnology,Bachelors,,https://www.bristol.ac.uk/?utm_source=topuniversities.com&utm_medium=referral&utm_campaign=listings
Central European University,MA in Sociology and Social Anthropology (2 years),Masters,Austria,https://www.ceu.edu
University of Sussex,Drama and English (with a study abroad year) BA (Hons),Bachelors,United Kingdom,https://www.sussex.ac.uk/?utm_source=qs&utm_medium=paid_referral&utm_campaign=institutionalprofiles
Central Queensland University (CQUniversity Australia),Master of Sustainable Tourism Management,Masters,Australia,http://www.cqu.edu.au/
